Year,Official Maize (kg/ha),FAO Maize (kg/ha),Harmonized Maize (kg/ha),Trend Maize (kg/ha),10-year Moving Average Maize (kg/ha),Yield Anomaly Maize (kg/ha),Yield Anomaly Maize (fraction),2023-equivalent yield Maize (kg/ha),2023-equivalent anomaly Maize (kg/ha),Official Beans (kg/ha),FAO Beans (kg/ha),Harmonized Beans (kg/ha),Trend Beans (kg/ha),10-year Moving Average Beans (kg/ha),Yield Anomaly Beans (kg/ha),Yield Anomaly Beans (fraction),2023-equivalent yield Beans (kg/ha),2023-equivalent anomaly Beans (kg/ha),Official Sorghum (kg/ha),FAO Sorghum (kg/ha),Harmonized Sorghum (kg/ha),Trend Sorghum (kg/ha),10-year Moving Average Sorghum (kg/ha),Yield Anomaly Sorghum (kg/ha),Yield Anomaly Sorghum (fraction),2023-equivalent yield Sorghum (kg/ha),2023-equivalent anomaly Sorghum (kg/ha)
1961,,927.9,927.9,1117.13,1082.2,-189.23,-0.17,2684.78,-547.52,,488.1,488.1,627.22,569.78,-139.12,-0.22,771.36,-219.85,,859.8,859.8,974.79,943.66,-114.99,-0.12,1498.17,-200.37
1962,,1076.5,1076.5,1150.7,1115.3,-74.2,-0.06,3023.86,-208.44,,557.8,557.8,632.99,572.32,-75.19,-0.12,873.46,-117.75,,950.5,950.5,986.28,964.02,-35.78,-0.04,1636.92,-61.61
1963,,1199.2,1199.2,1184.28,1111.47,14.92,0.01,3273.02,40.73,,520.5,520.5,638.77,578.46,-118.27,-0.19,807.68,-183.53,,950.1,950.1,997.77,974.96,-47.67,-0.05,1617.39,-81.14
1964,,1156.0,1156.0,1217.85,1133.71,-61.85,-0.05,3068.13,-164.16,,579.0,579.0,644.55,590.05,-65.55,-0.1,890.4,-100.8,,1007.2,1007.2,1009.25,989.58,-2.05,-0.0,1695.08,-3.46
1965,,1051.4,1051.4,1251.43,1167.43,-200.03,-0.16,2715.65,-516.65,,703.5,703.5,650.33,613.33,53.17,0.08,1072.25,81.04,,950.7,950.7,1020.74,1004.67,-70.04,-0.07,1581.98,-116.55
1966,,1280.8,1280.8,1285.0,1226.99,-4.2,-0.0,3221.73,-10.57,,585.0,585.0,656.11,634.72,-71.11,-0.11,883.79,-107.42,,1065.8,1065.8,1032.23,1022.73,33.57,0.03,1753.78,55.24
1967,,1088.5,1088.5,1318.57,1313.64,-230.07,-0.17,2668.3,-564.0,,615.3,615.3,661.88,672.38,-46.58,-0.07,921.45,-69.76,,1040.6,1040.6,1043.72,1060.88,-3.12,-0.0,1693.46,-5.07
1968,,1289.4,1289.4,1352.15,1321.52,-62.75,-0.05,3082.3,-150.0,,671.2,671.2,667.66,685.46,3.54,0.01,996.46,5.26,,1091.9,1091.9,1055.21,1077.59,36.69,0.03,1757.6,59.07
1969,,1437.2,1437.2,1385.72,1403.26,51.48,0.04,3352.37,120.07,,799.6,799.6,673.44,716.49,126.16,0.19,1176.9,185.69,,1125.4,1125.4,1066.69,1114.01,58.71,0.06,1792.02,93.48
1970,,1763.0,1763.0,1419.3,1454.47,343.7,0.24,4015.04,782.75,,827.2,827.2,679.22,724.08,147.98,0.22,1207.17,215.96,,1185.3,1185.3,1078.18,1116.19,107.12,0.1,1867.29,168.75
1971,,1794.4,1794.4,1452.87,1527.75,341.53,0.24,3992.12,759.82,,864.7,864.7,684.99,724.7,179.71,0.26,1251.25,260.04,,1241.3,1241.3,1089.67,1153.17,151.63,0.14,1934.89,236.36
1972,,1155.3,1155.3,1486.45,1545.91,-331.15,-0.22,2512.22,-720.08,,688.6,688.6,690.77,741.89,-2.17,-0.0,988.09,-3.11,,1117.6,1117.6,1101.16,1171.73,16.44,0.01,1723.9,25.36
1973,,2016.6,2016.6,1520.02,1592.15,496.58,0.33,4288.27,1055.97,,830.8,830.8,696.55,744.52,134.25,0.19,1182.25,191.04,,1314.3,1314.3,1112.65,1182.0,201.65,0.18,2006.37,307.84
1974,,1668.1,1668.1,1553.59,1655.0,114.51,0.07,3470.53,238.23,,654.9,654.9,702.33,760.34,-47.43,-0.07,924.27,-66.93,,1029.0,1029.0,1124.13,1191.11,-95.13,-0.08,1554.79,-143.74
1975,,1784.2,1784.2,1587.17,1700.87,197.03,0.12,3633.56,401.26,,709.7,709.7,708.1,764.91,1.6,0.0,993.44,2.23,,1320.5,1320.5,1135.62,1190.4,184.88,0.16,1975.05,276.52
1976,,1462.4,1462.4,1620.74,1706.1,-158.34,-0.1,2916.51,-315.79,,756.9,756.9,713.88,756.55,43.02,0.06,1050.94,59.73,,1251.4,1251.4,1147.11,1188.94,104.29,0.09,1852.96,154.42
1977,,1550.9,1550.9,1654.32,1707.64,-103.42,-0.06,3030.24,-202.06,,641.6,641.6,719.66,766.08,-78.06,-0.11,883.69,-107.51,,1143.3,1143.3,1158.6,1182.43,-15.3,-0.01,1676.11,-22.43
1978,,1917.9,1917.9,1687.89,1765.55,230.01,0.14,3672.77,440.47,,829.4,829.4,725.44,765.91,103.96,0.14,1133.26,142.05,,1183.0,1183.0,1170.09,1175.04,12.91,0.01,1717.28,18.75
1979,,1895.9,1895.9,1721.46,1747.38,174.44,0.1,3559.83,327.53,,845.3,845.3,731.21,757.79,114.09,0.16,1145.86,154.65,,1118.3,1118.3,1181.57,1154.95,-63.27,-0.05,1607.58,-90.96
1980,,1815.3,1815.3,1755.04,1797.19,60.26,0.03,3343.28,110.99,,743.6,743.6,736.99,776.41,6.61,0.01,1000.1,8.89,,1170.7,1170.7,1193.06,1172.95,-22.36,-0.02,1666.7,-31.84
1981,,1809.8,1809.8,1788.61,1814.21,21.19,0.01,3270.59,38.29,,960.0,960.0,742.77,764.7,217.23,0.29,1281.1,289.89,,1176.2,1176.2,1204.55,1156.84,-28.35,-0.02,1658.56,-39.98
1982,,1734.4,1734.4,1822.19,1837.57,-87.79,-0.05,3076.58,-155.72,,686.9,686.9,748.55,770.49,-61.65,-0.08,909.58,-81.63,,1043.7,1043.7,1216.04,1154.58,-172.34,-0.14,1457.82,-240.72
1983,,1834.9,1834.9,1855.76,1889.86,-20.86,-0.01,3195.96,-36.33,,749.6,749.6,754.32,745.63,-4.72,-0.01,985.0,-6.21,,1113.4,1113.4,1227.53,1061.0,-114.13,-0.09,1540.62,-157.92
1984,,2166.2,2166.2,1889.33,1909.44,276.87,0.15,3705.96,473.67,,841.1,841.1,760.1,747.48,81.0,0.11,1096.83,105.62,,1209.0,1209.0,1239.01,1068.42,-30.01,-0.02,1657.39,-41.15
1985,,1954.4,1954.4,1922.91,1932.86,31.49,0.02,3285.23,52.94,,592.6,592.6,765.88,732.58,-173.28,-0.23,766.95,-224.26,,1159.4,1159.4,1250.5,1081.55,-91.1,-0.07,1574.79,-123.74
1986,,1696.0,1696.0,1956.48,1965.16,-260.48,-0.13,2801.96,-430.34,,814.8,814.8,771.66,742.29,43.14,0.06,1046.62,55.42,,1228.8,1228.8,1261.99,1088.71,-33.19,-0.03,1653.86,-44.67
1987,,2073.8,2073.8,1990.06,1948.66,83.74,0.04,3368.32,136.02,,393.0,393.0,777.44,733.13,-384.44,-0.49,501.06,-490.14,,207.5,207.5,1273.48,1103.37,-1065.98,-0.84,276.76,-1421.78
1988,,2113.7,2113.7,2023.63,1995.11,90.07,0.04,3376.16,143.87,,847.9,847.9,783.21,742.69,64.69,0.08,1073.07,81.87,,1257.2,1257.2,1284.97,1142.83,-27.77,-0.02,1661.83,-36.7
1989,,2130.1,2130.1,2057.2,2016.44,72.9,0.04,3346.83,114.53,,696.3,696.3,788.99,751.32,-92.69,-0.12,874.76,-116.45,,1249.6,1249.6,1296.45,1184.03,-46.85,-0.04,1637.15,-61.39
1990,,2138.3,2138.3,2090.78,1952.27,47.52,0.02,3305.76,73.47,,840.7,840.7,794.77,749.85,45.93,0.06,1048.49,57.28,,1242.3,1242.3,1307.94,1212.74,-65.64,-0.05,1613.29,-85.25
1991,,1644.8,1644.8,2124.35,1976.55,-479.55,-0.23,2502.64,-729.66,,868.4,868.4,800.55,774.95,67.85,0.08,1075.22,84.01,,1322.8,1322.8,1319.43,1246.5,3.37,0.0,1702.87,4.34
1992,,2198.9,2198.9,2157.93,2032.67,40.97,0.02,3293.67,61.37,,782.5,782.5,806.32,780.79,-23.82,-0.03,961.92,-29.29,,1438.3,1438.3,1330.92,1276.04,107.38,0.08,1835.58,137.04
1993,,2048.2,2048.2,2191.5,1991.11,-143.3,-0.07,3020.94,-211.36,,835.9,835.9,812.1,822.84,23.8,0.03,1020.26,29.05,,1525.4,1525.4,1342.41,1415.79,182.99,0.14,1930.08,231.54
1994,,1524.5,1524.5,2225.07,1970.36,-700.57,-0.31,2214.59,-1017.7,,826.4,826.4,817.88,797.76,8.52,0.01,1001.53,10.33,,1496.1,1496.1,1353.89,1444.28,142.21,0.11,1876.94,178.4
1995,,2197.2,2197.2,2258.65,2007.82,-61.45,-0.03,3144.36,-87.94,,843.6,843.6,823.66,817.48,19.94,0.02,1015.21,24.0,,1497.0,1497.0,1365.38,1450.43,131.62,0.1,1862.27,163.73
1996,,2257.2,2257.2,2292.22,2018.85,-35.02,-0.02,3182.91,-49.39,,873.2,873.2,829.43,821.1,43.77,0.05,1043.51,52.3,,1524.2,1524.2,1376.87,1484.83,147.33,0.11,1880.28,181.75
1997,,1658.2,1658.2,2325.8,2048.77,-667.6,-0.29,2304.5,-927.8,,813.5,813.5,835.21,822.27,-21.71,-0.03,965.44,-25.77,,1605.0,1605.0,1388.36,1507.07,216.64,0.16,1963.58,265.04
1998,,1906.2,1906.2,2359.37,2089.42,-453.17,-0.19,2611.46,-620.84,,597.1,597.1,840.99,843.41,-243.89,-0.29,703.75,-287.45,,1542.1,1542.1,1399.85,1547.61,142.25,0.1,1871.14,172.61
