Year,Official Production (kg),FAO Production (kg),Harmonized Production (kg),Fitted Trend Production (kg),10-year Moving Average Production (kg),Production Anomaly (kg),Production Anomaly (fraction),Present-equivalent Production (kg),Present-equivalent Production anomaly (kg),Return Period (years)
1972,,27402000,27402000.0,27044255.79,35645200.0,357744.21,0.01,105850890.81,1381926.26,
1973,,37476000,37476000.0,28592749.96,35328166.67,8883250.04,0.31,136925581.5,32456616.95,
1974,,33681000,33681000.0,30141244.14,36412428.57,3539755.86,0.12,116737689.35,12268724.8,
1975,,39643000,39643000.0,31689738.31,37676000.0,7953261.69,0.25,130687830.88,26218866.34,
1976,,40024000,40024000.0,33238232.49,37823111.11,6785767.51,0.2,125796876.79,21327912.24,
1977,,33743000,33743000.0,34786726.66,37867200.0,-1043726.66,-0.03,101334520.63,-3134443.92,
1978,,42918000,42918000.0,36335220.84,38945000.0,6582779.16,0.18,123395397.55,18926433.0,
1979,,46521000,46521000.0,37883715.01,39421500.0,8637284.99,0.23,128287331.32,23818366.77,
1980,,39000000,39000000.0,39432209.19,40911000.0,-432209.19,-0.01,103323899.45,-1145065.1,
1981,,38264000,38264000.0,40980703.36,40402200.0,-2716703.36,-0.07,97543480.98,-6925483.56,
1982,,38180000,38180000.0,42529197.54,41367800.0,-4349197.54,-0.1,93785570.79,-10683393.76,4.25
1983,,42241000,42241000.0,44077691.71,40449900.0,-1836691.71,-0.04,100115803.7,-4353160.84,
1984,,48576000,48576000.0,45626185.89,41862100.0,2949814.11,0.06,111223069.01,6754104.46,
1985,,34555000,34555000.0,47174680.07,41667400.0,-12619680.07,-0.27,76522513.03,-27946451.52,12.75
1986,,49680000,49680000.0,48723174.24,43034400.0,956825.76,0.02,106520526.21,2051561.66,
1987,,24564000,24564000.0,50271668.42,45931400.0,-25707668.42,-0.51,51046160.31,-53422804.23,51.0
1988,,57040000,57040000.0,51820162.59,48308200.0,5219837.41,0.1,114992108.09,10523143.54,
1989,,44574000,44574000.0,53368656.77,50298200.0,-8794656.77,-0.16,87253453.77,-17215510.78,6.38
1990,,52670000,52670000.0,54917150.94,51578400.0,-2247150.94,-0.04,100194206.52,-4274758.03,
1991,,67234000,67234000.0,56465645.12,53236700.0,10768354.88,0.19,124391855.4,19922890.85,
1992,,61948000,61948000.0,58014139.29,54179200.0,3933860.71,0.07,111552864.44,7083899.89,
1993,,62141000,62141000.0,59562633.47,58473500.0,2578366.53,0.04,108991250.86,4522286.31,
1994,,61378000,61378000.0,61111127.64,57429800.0,266872.36,0.0,104925180.62,456216.08,
1995,,51138000,51138000.0,62659621.82,59528280.8,-11521621.82,-0.18,85259593.88,-19209370.66,8.5
1996,,59105000,59105000.0,64208115.99,61094991.6,-5103115.99,-0.08,96166007.27,-8302957.27,
1997,,67507000,67507000.0,65756610.17,61764473.26,1750389.83,0.03,107249847.15,2780882.61,
1998,,46603000,46603000.0,67305104.34,63723541.5,-20702104.34,-0.31,72335779.02,-32133185.52,17.0
1999,65558808.0,66484000,65558808.0,68853598.52,65840485.9,-3294790.52,-0.05,99469903.33,-4999061.21,
2000,68337108.0,68163000,68337108.0,70402092.69,68806528.62,-2064984.69,-0.03,101404754.32,-3064210.23,
2001,73928816.64,74934000,73928816.64,71950586.87,70528022.49,1978229.77,0.03,107341263.79,2872299.24,
2002,81538682.4,82648000,81538682.4,73499081.04,69988377.82,8039601.36,0.11,115896166.32,11427201.77,
2003,83310444.0,83484000,83310444.0,75047575.22,70341008.46,8262868.78,0.11,115971179.55,11502215.01,
2004,91038427.2,84300000,91038427.2,76596069.39,75186413.57,14442357.81,0.19,124166818.2,19697853.66,
2005,68352938.64,65110000,68352938.64,78144563.57,76624856.28,-9791624.93,-0.13,91378854.74,-13090109.8,4.64
2006,53708553.36,90742000,53708553.36,79693057.74,76905752.62,-25984504.38,-0.33,70406094.53,-34062870.02,25.5
2007,71033306.4,71181000,71033306.4,81241551.92,75982844.45,-10208245.52,-0.13,91342124.72,-13126839.82,5.1
2008,95057051.04,95255000,95057051.04,82790046.09,78587619.77,12267004.95,0.15,119948135.84,15479171.29,
2009,79943235.12,80110000,79943235.12,84338540.27,82012753.37,-4395305.15,-0.05,99024561.83,-5444402.72,
2010,71146071.36,71294000,71146071.36,85887034.44,84820374.07,-14740963.08,-0.17,86538747.72,-17930216.82,7.29
2011,64699734.96,64835000,64699734.96,87435528.62,87594119.92,-22735793.66,-0.26,77303979.57,-27164984.98,10.2
2012,107586435.6,107811000,107586435.6,88984022.79,94263087.74,18602412.81,0.21,126308557.12,21839592.58,
2013,117561780.0,117807000,117561780.0,90532516.97,96580217.15,27029263.03,0.3,135659074.09,31190109.54,
2014,119114634.2,120795000,119114634.2,92081011.14,96355113.62,27033623.06,0.29,135139507.51,30670542.96,
2015,96090397.2,96291000,96090397.2,93629505.32,98387223.48,2460891.88,0.03,107214753.13,2745788.58,
2016,120398231.5,120649000,120398231.5,95177999.49,100749191.25,25220232.01,0.26,132151113.12,27682148.58,
2017,94204600.56,94400950,94204600.56,96726493.67,104724831.96,-2521893.11,-0.03,101745206.54,-2723758.01,
2018,92806015.68,92999000,92806015.68,98274987.85,103054150.58,-5468972.17,-0.06,98655299.53,-5813665.02,
2019,100264333.7,100473000,100264333.7,99823482.02,101442191.76,440851.68,0.0,104930332.13,461367.58,
2020,94765749.12,85559950,94765749.12,101371976.2,99233136.45,-6606227.08,-0.07,97660912.38,-6808052.17,
2021,104456142.0,104673840,104456142.0,102920470.37,99682099.2,1535671.63,0.01,106027741.19,1558776.64,
