Year,Official Production (kg),FAO Production (kg),Harmonized Production (kg),Fitted Trend Production (kg),10-year Moving Average Production (kg),Production Anomaly (kg),Production Anomaly (fraction),Present-equivalent Production (kg),Present-equivalent Production anomaly (kg),Return Period (years)
1972.0,,236782000.0,236782000.0,374999045.25,355345400.0,-138217045.25,-0.37,544899617.97,-318074917.65,51.0
1973.0,,405520000.0,405520000.0,384758555.05,359410833.33,20761444.95,0.05,909540357.42,46565821.8,
1974.0,,352751000.0,352751000.0,394518064.86,380487428.57,-41767064.86,-0.11,771612652.32,-91361883.3,4.25
1975.0,,439245000.0,439245000.0,404277574.67,398272375.0,34967425.33,0.09,937616315.25,74641779.63,
1976.0,,342429000.0,342429000.0,414037084.48,412838555.56,-71608084.48,-0.17,713722317.01,-149252218.62,12.75
1977.0,,379738000.0,379738000.0,423796594.28,421546600.0,-44058594.28,-0.1,773258276.8,-89716258.83,3.64
1978.0,,506947000.0,506947000.0,433556104.09,439268400.0,73390895.91,0.17,1009055916.37,146081380.74,
1979.0,,522767000.0,522767000.0,443315613.9,443028200.0,79451386.1,0.18,1017637536.15,154663000.52,
1980.0,,529368000.0,529368000.0,453075123.71,460476100.0,76292876.29,0.17,1008289972.39,145315436.77,
1981.0,,499919000.0,499919000.0,462834633.51,466089600.0,37084366.49,0.08,932119888.26,69145352.64,
1982.0,,414000000.0,414000000.0,472594143.32,475546700.0,-58594143.32,-0.12,755979444.09,-106995091.54,5.67
1983.0,,443118000.0,443118000.0,482353653.13,495422500.0,-39235653.13,-0.08,792778385.31,-70196150.31,
1984.0,,527230000.0,527230000.0,492113162.94,504326300.0,35116837.06,0.07,924555770.26,61581234.64,
1985.0,,495380000.0,495380000.0,501872672.74,510903400.0,-6492672.74,-0.01,851810326.95,-11164208.68,
1986.0,,437000000.0,437000000.0,511632182.55,518227500.0,-74632182.55,-0.15,737091772.03,-125882763.59,8.5
1987.0,,578496000.0,578496000.0,521391692.36,518664500.0,57104307.64,0.11,957489972.08,94515436.46,
1988.0,,595985000.0,595985000.0,531151202.17,547823000.0,64833797.83,0.12,968311615.44,105337079.82,
1989.0,,588538000.0,588538000.0,540910711.97,566524200.0,47627288.03,0.09,938959602.76,75985067.14,
1990.0,,602609000.0,602609000.0,550670221.78,561866600.0,51938778.22,0.09,944369608.83,81395073.2,
1991.0,,504289000.0,504289000.0,560429731.59,577056600.0,-56140731.59,-0.1,776526549.3,-86447986.33,3.4
1992.0,,705585000.0,705585000.0,570189241.4,596352700.0,135395758.6,0.24,1067894382.27,204919846.64,
1993.0,,630130000.0,630130000.0,579948751.21,589268100.0,50181248.79,0.09,937645167.79,74670632.16,
1994.0,,480654000.0,480654000.0,589708261.01,585979100.0,-109054261.01,-0.18,703385368.44,-159589167.18,25.5
1995.0,,647280000.0,647280000.0,599467770.82,592183333.6,47812229.18,0.08,931803484.04,68828948.41,
1996.0,,629961000.0,629961000.0,609227280.63,589408068.8,20733719.37,0.03,892343988.4,29369452.77,
1997.0,,507650000.0,507650000.0,618986790.44,595359367.19,-111336790.44,-0.18,707751812.77,-155222722.86,17.0
1998.0,,563095000.0,563095000.0,628746300.24,588372390.09,-65651300.24,-0.1,772866012.81,-90108522.81,3.92
1999.0,650580336.0,659760000.0,650580336.0,638505810.05,588026792.93,12074525.95,0.02,879293899.14,16319363.52,
2000.0,574856352.0,582676000.0,574856352.0,648265319.86,606051330.24,-73408967.86,-0.11,765252093.89,-97722441.73,5.1
2001.0,563801983.9,571471000.0,563801983.9,658024829.67,623247427.49,-94222845.77,-0.14,739404857.24,-123569678.38,7.29
2002.0,635715229.0,644363000.0,635715229.0,667784339.47,621625702.71,-32069110.47,-0.05,821531776.21,-41442759.41,
2003.0,626674028.4,627980000.0,626674028.4,677543849.28,640656837.79,-50869820.88,-0.08,798182625.7,-64791909.92,
2004.0,660899373.1,648045000.0,660899373.1,687303359.09,670992648.99,-26403985.99,-0.04,829821827.66,-33152707.96,
2005.0,819240972.5,727607000.0,819240972.5,697062868.9,684367666.42,122178103.6,0.18,1014232904.02,151258368.4,
2006.0,613743752.2,742067000.0,613743752.2,706822378.7,703533563.72,-93078626.5,-0.13,749332852.93,-113641682.7,6.38
2007.0,697961350.8,699416000.0,697961350.8,716581888.51,722631271.33,-18620537.71,-0.03,840549952.83,-22424582.79,
2008.0,866453112.0,868259000.0,866453112.0,726341398.32,751451105.67,140111713.68,0.19,1029442867.64,166468332.01,
2009.0,784330510.3,785965000.0,784330510.3,736100908.13,775273569.85,48229602.17,0.07,919516944.52,56542408.9,
2010.0,766515325.0,768113000.0,766515325.0,745860417.93,789974863.79,20654907.07,0.03,886872651.69,23898116.06,
2011.0,754779060.0,756352000.0,754779060.0,755619927.74,778947444.08,-840867.74,-0.0,862014201.7,-960333.92,
2012.0,923913572.4,925839000.0,923913572.4,765379437.55,809728209.36,158534134.85,0.21,1041723682.38,178749146.75,
2013.0,864898670.2,866701000.0,864898670.2,775138947.36,830164359.02,89759722.84,0.12,962905464.66,99930929.03,
2014.0,807912312.5,819311000.0,807912312.5,784898457.16,811927389.16,23013855.34,0.03,888277644.5,25303108.88,
2015.0,708966775.4,710444000.0,708966775.4,794657966.97,811929965.61,-85691191.57,-0.11,769916491.37,-93058044.25,4.64
2016.0,921551405.0,923472000.0,921551405.0,804417476.78,812869126.26,117133928.22,0.15,988635153.69,125660618.06,
2017.0,902322847.4,904203590.0,902322847.4,814176986.59,820888638.18,88145860.81,0.11,956403402.51,93428866.89,
2018.0,684083413.4,685509270.0,684083413.4,823936496.39,806239535.46,-139853082.99,-0.17,716495225.77,-146479309.85,10.2
2019.0,784356274.8,785991000.0,784356274.8,833696006.2,799721853.82,-49339731.4,-0.06,811902044.6,-51072491.02,
2020.0,775906931.5,780729730.0,775906931.5,843455516.01,798698046.49,-67548584.51,-0.08,793862760.03,-69111775.6,
2021.0,834974179.2,836714560.0,834974179.2,853215025.82,811516799.5,-18240846.62,-0.02,844525040.88,-18449494.75,
2022.0,777422545.2,779043000.0,777422545.2,862974535.62,793177698.58,-85551990.42,-0.1,777422545.2,-85551990.42,
