Year,Official Maize (kg/ha),FAO Maize (kg/ha),Official Beans (kg/ha),FAO Beans (kg/ha),Official Sorghum (kg/ha),FAO Sorghum (kg/ha),
1961,,927.9,,488.1,,859.8,
1962,,1076.5,,557.8,,950.5,
1963,,1199.2,,520.5,,950.1,
1964,,1156,,579,,1007.2,
1965,,1051.4,,703.5,,950.7,
1966,,1280.8,,585,,1065.8,
1967,,1088.5,,615.3,,1040.6,
1968,,1289.4,,671.2,,1091.9,
1969,,1437.2,,799.6,,1125.4,
1970,,1763,,827.2,,1185.3,
1971,,1794.4,,864.7,,1241.3,
1972,,1155.3,,688.6,,1117.6,
1973,,2016.6,,830.8,,1314.3,
1974,,1668.1,,654.9,,1029,
1975,,1784.2,,709.7,,1320.5,
1976,,1462.4,,756.9,,1251.4,
1977,,1550.9,,641.6,,1143.3,
1978,,1917.9,,829.4,,1183,
1979,,1895.9,,845.3,,1118.3,
1980,,1815.3,,743.6,,1170.7,
1981,,1809.8,,960,,1176.2,
1982,,1734.4,,686.9,,1043.7,
1983,,1834.9,,749.6,,1113.4,
1984,,2166.2,,841.1,,1209,
1985,,1954.4,,592.6,,1159.4,
1986,,1696,,814.8,,1228.8,
1987,,2073.8,,393,,207.5,
1988,,2113.7,,847.9,,1257.2,
1989,,2130.1,,696.3,,1249.6,
1990,,2138.3,,840.7,,1242.3,
1991,,1644.8,,868.4,,1322.8,
1992,,2198.9,,782.5,,1438.3,
1993,,2048.2,,835.9,,1525.4,
1994,,1524.5,,826.4,,1496.1,
1995,,2197.2,,843.6,,1497,
1996,,2257.2,,873.2,,1524.2,
1997,,1658.2,,813.5,,1605,
1998,,1906.2,,597.1,,1542.1,
1999,2504.68699,2504.7,893.4793711,893.5,1311.085413,1311.1,
2000,2248.59002,2247.5,876.8986461,862.5,1586.299766,1585.5,
2001,1944.056925,1943.1,880.1709346,879.7,1545.254239,1544.5,
2002,2605.409033,2604.1,993.819243,993.3,1843.686056,1842.8,
2003,2775.635945,2747.1,1005.658816,995.3,1615.17177,1598.5,
2004,3040.608172,2764.1,1070.752066,968.5,1687.353593,1599.9,
2005,3231.970242,2943.4,797.1662716,761,1527.002382,1585.9,
2006,2549.702452,3079.4,769.1911159,1038.5,1352.835059,1839.7,
2007,2942.708679,2910.7,885.7322375,876.1,1547.474488,1530.7,
2008,3426.717438,3389.5,892.2392652,882.5,1407.582394,1389.9,
2009,3037.145813,3004.1,778.2913169,769.8,1732.103272,1713.3,
2010,3061.63101,3025.3,703.8512964,695.5,1286.899271,1720.1,
2011,2851.906112,2818.1,672.0895305,664.1,1470.793116,1453.4,
2012,3296.073345,3258,934.6068086,923.8,1335.796136,1320.4,
2013,2978.446382,2946.1,993.484297,982.7,1681.552593,1663.3,
2014,2606.427406,2606.4,994.3912161,994.4,1724.765179,1724.8,
2015,2541.093338,2511,869.9517825,845.8,1261.199866,1246.3,
2016,3079.030799,3042.5,982.6828793,971,1480.686247,1463.1,
2017,3224.980507,3186.7,973.547873,962,1480.951844,1463.4,
2018,2561.582229,2531.2,961.7562609,950.3,1599.007939,1580,
2019,3007.160153,2971.5,1036.711427,1024.4,1709.176712,1688.9,
2020,2948.934541,2949.4,951.9797525,857.1,1637.605658,1635,
2021,3215.19652,3177.1,1094.940922,1082,1706.365581,1686.1,
2022,2989.580229,2953.8,1025.587692,1013.4,1778.938496,1757.8,
2023,,3010.5,,986.1,,1668.9,
2024,,3084.2,,988.3,,1613.2,
