Year,Official Area (Mz),Official Production (QQ),Official Yield (QQ/Mz),Official Area (ha),Official Production (kg),Official Yield (kg/ha),FAO Area (ha),FAO Production (t),FAO Production (kg),FAO Yield (kg/ha)
1961,,,,,,,21468,10479,10479000,488.1
1962,,,,,,,32898,18352,18352000,557.8
1963,,,,,,,27783,14462,14462000,520.5
1964,,,,,,,21379,12378,12378000,579
1965,,,,,,,23520,16546,16546000,703.5
1966,,,,,,,26433,15462,15462000,585
1967,,,,,,,28417,17486,17486000,615.3
1968,,,,,,,31689,21270,21270000,671.2
1969,,,,,,,32875,26287,26287000,799.6
1970,,,,,,,36120,29877,29877000,827.2
1971,,,,,,,39900,34500,34500000,864.7
1972,,,,,,,39795,27402,27402000,688.6
1973,,,,,,,45108,37476,37476000,830.8
1974,,,,,,,51429,33681,33681000,654.9
1975,,,,,,,55860,39643,39643000,709.7
1976,,,,,,,52878,40024,40024000,756.9
1977,,,,,,,52588,33743,33743000,641.6
1978,,,,,,,51748,42918,42918000,829.4
1979,,,,,,,55035,46521,46521000,845.3
1980,,,,,,,52448,39000,39000000,743.6
1981,,,,,,,39859,38264,38264000,960
1982,,,,,,,55580,38180,38180000,686.9
1983,,,,,,,56350,42241,42241000,749.6
1984,,,,,,,57750,48576,48576000,841.1
1985,,,,,,,58310,34555,34555000,592.6
1986,,,,,,,60970,49680,49680000,814.8
1987,,,,,,,62510,24564,24564000,393
1988,,,,,,,67270,57040,57040000,847.9
1989,,,,,,,64019,44574,44574000,696.3
1990,,,,,,,62650,52670,52670000,840.7
1991,,,,,,,77420,67234,67234000,868.4
1992,,,,,,,79170,61948,61948000,782.5
1993,,,,,,,74340,62141,62141000,835.9
1994,,,,,,,74270,61378,61378000,826.4
1995,,,,,,,60620,51138,51138000,843.6
1996,,,,,,,67690,59105,59105000,873.2
1997,,,,,,,82985,67507,67507000,813.5
1998,,,,,,,78050,46603,46603000,597.1
1999,"106,300","1,445,300",13.6,74410,65558808,881.0483537,74410,66484,66484000,893.5
2000,"112,900","1,506,550",13.3,79030,68337108,864.6983171,79030,68163,68163000,862.5
2001,"121,684","1,629,824",13.4,85178.8,73928816.64,867.9250781,85179,74934,74934000,879.7
2002,"118,862","1,797,590",15.1,83203.4,81538682.4,979.9921926,83203,82648,82648000,993.3
2003,"120,015","1,836,650",15.3,84010.5,83310444,991.6670416,83878,83484,83484000,995.3
2004,"123,175","2,007,020",16.3,86222.5,91038427.2,1055.854646,87043,84300,84300000,968.5
2005,"124,221","1,506,899",12.1,86954.7,68352938.64,786.0752626,85556,65110,65110000,761
2006,"101,157","1,184,051",11.7,70809.9,53708553.36,758.4893265,87379,90742,90742000,1038.5
2007,"116,184","1,565,990",13.5,81328.8,71033306.4,873.4090064,81248,71181,71181000,876.1
2008,"154,344","2,095,614",13.6,108040.8,95057051.04,879.8255015,107933,95255,95255000,882.5
2009,"148,808","1,762,417",11.8,104165.6,79943235.12,767.462916,104062,80110,80110000,769.8
2010,"146,439","1,568,476",10.7,102507.3,71146071.36,694.0585828,102507,71294,71294000,695.5
2011,"139,464","1,426,361",10.2,97624.8,64699734.96,662.7387197,97625,64835,64835000,664.1
2012,"166,769","2,371,835",14.2,116738.3,107586435.6,921.6035834,116703,107811,107811000,923.8
2013,"171,432","2,591,750",15.1,120002.4,117561780,979.6619068,119883,117807,117807000,982.7
2014,"173,538","2,625,984",15.1,121476.6,119114634.2,980.5562079,121477,120795,120795000,994.4
2015,"160,019","2,118,395",13.2,112013.3,96090397.2,857.8481055,113840,96291,96291000,845.8
2016,"177,498","2,654,282",15,124248.6,120398231.5,969.0107697,124249,120649,120649000,971
2017,"140,185","2,076,821",14.8,98129.5,94204600.56,960.0028591,98130,94400.95,94400950,962
2018,"139,797","2,045,988",14.6,97857.9,92806015.68,948.3753042,97858,92999,92999000,950.3
2019,"140,112","2,210,413",15.8,98078.4,100264333.7,1022.287616,98078,100473,100473000,1024.4
2020,"144,215","2,089,192",14.5,100950.5,94765749.12,938.7348168,99824,85559.95,85559950,857.1
2021,"138,207","2,302,825",16.7,96744.9,104456142,1079.706961,96745,104673.84,104673840,1082
2022,"128,375","2,003,519",15.6,89862.5,90879621.84,1011.318646,89863,91069,91069000,1013.4
