Year,Official Area (Mz),Official Production (QQ),Official Yield (QQ/Mz),Official Area (ha),Official Production (kg),Official Yield (kg/ha),FAO Area (ha),FAO Production (t),FAO Production (kg),FAO Yield (kg/ha)
1961,,,,,,,190000,176300,176300000,927.9
1962,,,,,,,198700,213900,213900000,1076.5
1963,,,,,,,172680,207077,207077000,1199.2
1964,,,,,,,165754,191611,191611000,1156
1965,,,,,,,193074,203006,203006000,1051.4
1966,,,,,,,207619,265914,265914000,1280.8
1967,,,,,,,191866,208840,208840000,1088.5
1968,,,,,,,199745,257550,257550000,1289.4
1969,,,,,,,194110,278967,278967000,1437.2
1970,,,,,,,205940,363078,363078000,1763
1971,,,,,,,210210,377200,377200000,1794.4
1972,,,,,,,204960,236782,236782000,1155.3
1973,,,,,,,201089,405520,405520000,2016.6
1974,,,,,,,211470,352751,352751000,1668.1
1975,,,,,,,246190,439245,439245000,1784.2
1976,,,,,,,234150,342429,342429000,1462.4
1977,,,,,,,244846,379738,379738000,1550.9
1978,,,,,,,264320,506947,506947000,1917.9
1979,,,,,,,275734,522767,522767000,1895.9
1980,,,,,,,291608,529368,529368000,1815.3
1981,,,,,,,276224,499919,499919000,1809.8
1982,,,,,,,238700,414000,414000000,1734.4
1983,,,,,,,241500,443118,443118000,1834.9
1984,,,,,,,243390,527230,527230000,2166.2
1985,,,,,,,253470,495380,495380000,1954.4
1986,,,,,,,257670,437000,437000000,1696
1987,,,,,,,278950,578496,578496000,2073.8
1988,,,,,,,281960,595985,595985000,2113.7
1989,,,,,,,276290,588538,588538000,2130.1
1990,,,,,,,281820,602609,602609000,2138.3
1991,,,,,,,306600,504289,504289000,1644.8
1992,,,,,,,320880,705585,705585000,2198.9
1993,,,,,,,307650,630130,630130000,2048.2
1994,,,,,,,315280,480654,480654000,1524.5
1995,,,,,,,294595,647280,647280000,2197.2
1996,,,,,,,279090,629961,629961000,2257.2
1997,,,,,,,306145,507650,507650000,1658.2
1998,,,,,,,295400,563095,563095000,1906.2
1999,"376,300","14,342,600",38.1,263410,650580336,2469.839171,263410,659760,659760000,2504.7
2000,"370,370","12,673,200",34.2,259259,574856352,2217.305289,259259,582676,582676000,2247.5
2001,"420,150","12,429,497",29.6,294105,563801983.9,1917.009177,294105,571471,571471000,1943.1
2002,"353,487","14,014,886",39.6,247440.9,635715229,2569.159864,247441,644363,644363000,2604.1
2003,"327,089","13,815,565",42.2,228962.3,626674028.4,2737.018402,228601,627980,627980000,2747.1
2004,"314,892","14,570,092",46.3,220424.4,660899373.1,2998.304059,234450,648045,648045000,2764.1
2005,"367,224","18,060,868",49.2,257056.8,819240972.5,3187.003699,247199,727607,727607000,2943.4
2006,"348,726","13,530,506",38.8,244108.2,613743752.2,2514.228331,240978,742067,742067000,3079.4
2007,"343,614","15,387,155",44.8,240529.8,697961350.8,2901.766645,240290,699416,699416000,2910.7
2008,"366,314","19,101,700",52.2,256419.8,866453112,3379.041369,256164,868259,868259000,3389.5
2009,"374,128","17,291,237",46.2,261889.6,784330510.3,2994.889871,261628,785965,785965000,3004.1
2010,"362,706","16,898,486",46.6,253894.2,766515325,3019.034405,253894,768113,768113000,3025.3
2011,"383,417","16,639,750",43.4,268391.9,754779060,2812.227418,268392,756352,756352000,2818.1
2012,"406,089","20,368,465",50.2,284262.3,923913572.4,3250.214933,284176,925839,925839000,3258
2013,"420,690","19,067,431",45.3,294483,864898670.2,2937.007128,294189,866701,866701000,2946.1
2014,"449,061","17,811,118",39.7,314342.7,807912312.5,2570.164068,314343,819311,819311000,2606.4
2015,"404,196","15,629,779",38.7,282937.2,708966775.4,2505.738996,282937,710444,710444000,2511
2016,"433,603","20,316,389",46.9,303522.1,921551405,3036.192109,303522,923472,923472000,3042.5
2017,"405,342","19,892,479",49.1,283739.4,902322847.4,3180.111213,283739,904203.59,904203590,3186.7
2018,"386,890","15,081,204",39,270823,684083413.4,2525.942824,270823,685509.27,685509270,2531.2
2019,"377,871","17,291,805",45.8,264509.7,784356274.8,2965.321403,264510,785991,785991000,2971.5
2020,"381,181","17,105,532",44.9,266826.7,775906931.5,2907.905886,264708,780729.73,780729730,2949.4
2021,"376,229","18,407,720",48.9,263360.3,834974179.2,3170.463351,263361,836714.56,836714560,3177.1
2022,"376,733","17,138,945",45.5,263713.1,777422545.2,2947.98607,263741,779043,779043000,2953.8
,,,,,,,255770,770000,,3010.5
,,,,,,,254525,785000,,3084.2
