Year,Official Area (Mz),Official Production (QQ),Official Yield (QQ/Mz),Official Area (ha),Official Production (kg),Official Yield (kg/ha),FAO Area (ha),FAO Production (t),FAO Production (kg),FAO Yield (kg/ha)
1961,,,,,,,98200,84430,84430000,859.8
1962,,,,,,,92900,88300,88300000,950.5
1963,,,,,,,96100,91300,91300000,950.1
1964,,,,,,,87119,87743,87743000,1007.2
1965,,,,,,,111090,105611,105611000,950.7
1966,,,,,,,107602,114680,114680000,1065.8
1967,,,,,,,103880,108100,108100000,1040.6
1968,,,,,,,113750,124209,124209000,1091.9
1969,,,,,,,113803,128069,128069000,1125.4
1970,,,,,,,124180,147186,147186000,1185.3
1971,,,,,,,126000,156400,156400000,1241.3
1972,,,,,,,130480,145820,145820000,1117.6
1973,,,,,,,119000,156400,156400000,1314.3
1974,,,,,,,127400,131100,131100000,1029
1975,,,,,,,132370,174800,174800000,1320.5
1976,,,,,,,124950,156363,156363000,1251.4
1977,,,,,,,132160,151100,151100000,1143.3
1978,,,,,,,136780,161814,161814000,1183
1979,,,,,,,143357,160310,160310000,1118.3
1980,,,,,,,119490,139881,139881000,1170.7
1981,,,,,,,115385,135713,135713000,1176.2
1982,,,,,,,119000,124200,124200000,1043.7
1983,,,,,,,110600,123147,123147000,1113.4
1984,,,,,,,116200,140480,140480000,1209
1985,,,,,,,114380,132608,132608000,1159.4
1986,,,,,,,120050,147512,147512000,1228.8
1987,,,,,,,125090,25953,25953000,207.5
1988,,,,,,,121940,153304,153304000,1257.2
1989,,,,,,,119630,149486,149486000,1249.6
1990,,,,,,,129290,160623,160623000,1242.3
1991,,,,,,,123130,162881,162881000,1322.8
1992,,,,,,,148890,214153,214153000,1438.3
1993,,,,,,,134120,204590,204590000,1525.4
1994,,,,,,,121660,182017,182017000,1496.1
1995,,,,,,,134260,200992,200992000,1497
1996,,,,,,,119420,182017,182017000,1524.2
1997,,,,,,,124408,199678,199678000,1605
1998,,,,,,,109340,168613,168613000,1542.1
1999,"151,950","3,031,600",20,106365,137513376,1292.844225,106365,139454,139454000,1311.1
2000,"134,200","3,239,500",24.1,93940,146943720,1564.229508,93940,148942,148942000,1585.5
2001,"139,228","3,273,910",23.5,97459.6,148504557.6,1523.755049,97460,150529,150529000,1544.5
2002,"109,124","3,061,593",28.1,76386.8,138873858.5,1818.034771,76387,140763,140763000,1842.8
2003,"126,174","3,101,193",24.6,88321.8,140670114.5,1592.699815,88183,140963,140963000,1598.5
2004,"146,175","3,753,353",25.7,102322.5,170252092.1,1663.877369,92274,147631,147631000,1599.9
2005,"123,662","2,873,533",23.2,86563.4,130343456.9,1505.757132,89148,141384,141384000,1585.9
2006,"92,051","1,895,019",20.6,64435.7,85958061.84,1334.013006,89149,164007,164007000,1839.7
2007,"120,629","2,840,635",23.6,84440.3,128851203.6,1525.944408,84356,129120,129120000,1530.7
2008,"138,100","2,958,065",21.4,96670,134177828.4,1387.998639,96573,134230,134230000,1389.9
2009,"136,632","3,601,359",26.4,95642.4,163357644.2,1708.004444,95547,163698,163698000,1713.3
2010,"119,676","2,343,645",19.6,83773.2,106307737.2,1268.994585,96512,166009,166009000,1720.1
2011,"139,576","3,123,939",22.4,97703.2,141701873,1450.329908,97703,141997,141997000,1453.4
2012,"147,813","3,004,644",20.3,103469.1,136290651.8,1317.211147,103437,136575,136575000,1320.4
2013,"121,027","3,096,941",25.6,84718.9,140477243.8,1658.157079,84634,140770,140770000,1663.3
2014,"116,627","3,061,042",26.2,81638.9,138848865.1,1700.768446,81639,140808,140808000,1724.8
2015,"120,642","2,315,382",19.2,84449.4,105025727.5,1243.652738,84449,105245,105245000,1246.3
2016,"118,995","2,681,217",22.5,83296.5,121620003.1,1460.085395,83296,121873,121873000,1463.1
2017,"94,013","2,118,698",22.5,65809.1,96104141.28,1460.347297,65809,96304.45,96304450,1463.4
2018,"98,813","2,404,390",24.3,69169.1,109063130.4,1576.760872,69169,109290.45,109290450,1580
2019,"91,197","2,371,962",26,63837.9,107592196.3,1685.396862,63838,107816,107816000,1688.9
2020,"93,388","2,327,237",24.9,65371.6,105563470.3,1614.821579,65904,107756.6,107756600,1635
2021,"79,661","2,068,512",26,55762.7,93827704.32,1682.624843,55763,94023.27,94023270,1686.1
2022,"86,578","2,343,736",27.1,60604.6,106311865,1754.188048,60605,106533,106533000,1757.8
,,,,,,,59918,100000,,1668.9
,,,,,,,61369,99000,,1613.2
