Year,Official Production (kg),FAO Production (kg),Harmonized Production (kg),Fitted Trend Production (kg),10-year Moving Average Production (kg),Production Anomaly (kg),Production Anomaly (fraction),Present-equivalent Production (kg),Present-equivalent Production anomaly (kg),Return Period (years)
1972.0,,145820000.0,145820000.0,161409436.13,152896600.0,-15589436.13,-0.1,109961589.39,-11755857.73,
1973.0,,156400000.0,156400000.0,160615596.35,152597166.67,-4215596.35,-0.03,118522790.83,-3194656.29,
1974.0,,131100000.0,131100000.0,159821756.57,153913857.14,-28721756.57,-0.18,99843460.99,-21873986.13,6.38
1975.0,,174800000.0,174800000.0,159027916.79,154713375.0,15772083.21,0.1,133789149.64,12071702.52,
1976.0,,156363000.0,156363000.0,158234077.01,153065333.33,-1871077.01,-0.01,120278169.81,-1439277.31,
1977.0,,151100000.0,151100000.0,157440237.23,151330100.0,-6340237.23,-0.04,116815793.62,-4901653.5,
1978.0,,161814000.0,161814000.0,156646397.45,149168100.0,5167602.55,0.03,125732779.75,4015332.63,
1979.0,,160310000.0,160310000.0,155852557.67,145842800.0,4457442.33,0.03,125198612.33,3481165.21,
1980.0,,139881000.0,139881000.0,155058717.88,146780800.0,-15177717.88,-0.1,109803295.5,-11914151.61,
1981.0,,135713000.0,135713000.0,154264878.1,142561600.0,-18551878.1,-0.12,107079719.66,-14637727.46,3.4
1982.0,,124200000.0,124200000.0,153471038.32,141676500.0,-29271038.32,-0.19,98502669.28,-23214777.84,8.5
1983.0,,123147000.0,123147000.0,152677198.54,129161800.0,-29530198.54,-0.19,98175356.92,-23542090.2,10.2
1984.0,,140480000.0,140480000.0,151883358.76,128310800.0,-11403358.76,-0.08,112578936.3,-9138510.82,
1985.0,,132608000.0,132608000.0,151089518.98,127228400.0,-18481518.98,-0.12,106828768.38,-14888678.74,3.64
1986.0,,147512000.0,147512000.0,150295679.2,129302600.0,-2783679.2,-0.02,119463075.42,-2254371.7,
1987.0,,25953000.0,25953000.0,149501839.42,132019400.0,-123548839.42,-0.83,21129726.01,-100587721.11,51.0
1988.0,,153304000.0,153304000.0,148707999.64,141014700.0,4596000.36,0.03,125479271.85,3761824.73,
1989.0,,149486000.0,149486000.0,147914159.86,149159000.0,1571840.14,0.01,123010902.52,1293455.4,
1990.0,,160623000.0,160623000.0,147120320.08,153312700.0,13502679.92,0.09,132888655.34,11171208.22,
1991.0,,162881000.0,162881000.0,146326480.3,160151100.0,16554519.7,0.11,135487845.15,13770398.03,
1992.0,,214153000.0,214153000.0,145532640.52,163601600.0,68620359.48,0.47,179108661.53,57391214.41,
1993.0,,204590000.0,204590000.0,144738800.74,180974100.0,59851199.26,0.41,172049045.44,50331598.32,
1994.0,,182017000.0,182017000.0,143944960.96,182505000.0,38072039.04,0.26,153910525.41,32193078.29,
1995.0,,200992000.0,200992000.0,143151121.18,181307737.6,57840878.82,0.4,170897949.87,49180502.75,
1996.0,,182017000.0,182017000.0,142357281.4,179939809.6,39659718.6,0.28,155627055.77,33909608.65,
1997.0,,199678000.0,199678000.0,141563441.62,178502165.36,58114558.38,0.41,171684837.04,49967389.92,
1998.0,,168613000.0,168613000.0,140769601.84,170974251.21,27843398.16,0.2,145792441.28,24074994.16,
1999.0,137513376.0,139454000.0,137513376.0,139975762.06,164582262.66,-2462386.06,-0.02,119576252.52,-2141194.6,
2000.0,146943720.0,148942000.0,146943720.0,139181922.28,163405771.87,7761797.72,0.06,128505298.5,6787851.38,
2001.0,148504557.6,150529000.0,148504557.6,138388082.5,156340917.56,10116475.1,0.07,130615261.88,8897814.76,
2002.0,138873858.5,140763000.0,138873858.5,137594242.72,146735023.74,1279615.78,0.01,122849409.93,1131962.81,
2003.0,140670114.5,140963000.0,140670114.5,136800402.94,139652344.1,3869711.56,0.03,125160502.85,3443055.74,
2004.0,170252092.1,147631000.0,170252092.1,136006563.16,136208826.94,34245528.94,0.25,152365073.68,30647626.56,
2005.0,130343456.9,141384000.0,130343456.9,135212723.38,138793253.76,-4869266.48,-0.04,117334171.12,-4383276.0,
2006.0,85958061.84,164007000.0,85958061.84,134418883.6,134729655.48,-48460821.76,-0.36,77835759.13,-43881687.99,25.5
2007.0,128851203.6,129120000.0,128851203.6,133625043.82,134049387.02,-4773840.22,-0.04,117369013.41,-4348433.71,
2008.0,134177828.4,134230000.0,134177828.4,132831204.04,133791066.35,1346624.36,0.01,122951401.75,1233954.63,
2009.0,163357644.2,163698000.0,163357644.2,132037364.26,133771779.28,31320279.94,0.24,150589763.21,28872316.09,
2010.0,106307737.2,166009000.0,106307737.2,131243524.48,130631456.58,-24935787.28,-0.19,98591579.52,-23125867.59,7.29
2011.0,141701873.0,141997000.0,141701873.0,130449684.7,128099683.64,11252188.3,0.09,132216419.48,10498972.36,
2012.0,136290651.8,136575000.0,136290651.8,129655844.92,131665877.77,6634806.88,0.05,127946026.76,6228579.64,
2013.0,140477243.8,140770000.0,140477243.8,128862005.14,128391171.54,11615238.66,0.09,132688696.52,10971249.41,
2014.0,138848865.1,140808000.0,138848865.1,128068165.36,125879701.74,10780699.74,0.08,131963547.29,10246100.17,
2015.0,105025727.5,105245000.0,105025727.5,127274325.58,120303156.95,-22248598.08,-0.17,100440237.06,-21277210.06,5.67
2016.0,121620003.1,121873000.0,121620003.1,126480485.8,120228730.26,-4860482.7,-0.04,117040001.88,-4677445.24,
2017.0,96104141.28,96304450.0,96104141.28,125686646.02,115441313.39,-29582504.74,-0.24,93069161.32,-28648285.8,17.0
2018.0,109063130.4,109290450.0,109063130.4,124892806.24,112443434.71,-15829675.84,-0.13,106290235.66,-15427211.46,4.25
2019.0,107592196.3,107816000.0,107592196.3,124098966.46,109328567.03,-16506770.16,-0.13,105527449.88,-16189997.24,4.64
2020.0,105563470.3,107756600.0,105563470.3,123305126.68,105638529.78,-17741656.38,-0.14,104204232.7,-17513214.42,5.1
2021.0,93827704.32,94023270.0,93827704.32,122511286.9,105726072.96,-28683582.58,-0.23,93219726.34,-28497720.77,12.75
2022.0,106311865.0,106533000.0,106311865.0,121717447.12,103077084.6,-15405582.12,-0.13,106311865.0,-15405582.12,3.92
