EMERGENCY CODE (CÓDIGO DE EMERGENCIA-SINPAD),DATE OF THE EMERGENCY (FECHA  DE LA EMER),Year (AÑO),Month (MES),COD. DISTRITO,Department - Admin 1 (DPTO.),Province - Admin 2 (PROV.),District - Admin 3 (DIST.),Emergency (EMERGENCIA),Natural Region (REGIÓN NATURAL),Deaths (FALLECIDOS),Missing (DESAPARECIDOS),Injured (HERIDOS),VICTIMS (DAMNIFICADOS),AFFECTED (AFECTADOS),HOMES DESTROYED (VIVIENDAS DESTRUIDAS),AFFECTED HOMES (VIVIENDAS AFECTADAS),EDUCATIONAL CENTERS DESTROYED (CENTROS EDUCATIVOS DESTRUIDOS),AFFECTED EDUCATIONAL CENTERS (CENTROS EDUCATIVOS AFECTADOS),HEALTH CENTERS DESTROYED (CENTROS SALUD DESTRUIDOS),HEALTH CENTERS AFFECTED (CENTROS SALUD AFECTADOS),DESTROYED CROP (HAS CULTIVO DESTRUIDO),AFFECTED CROP (HAS CULTIVO AFECTADO),BRIDGE AFFECTED (PUENTE AFECTADO),BRIDGE COLLAPSED (PUENTE COLAPSADO),ROAD AFFECTED (CARRETERA AFECTADA),ROAD COLLAPSED (CARRETERA COLAPSADA),AFFECTED RURAL ROAD (CAMINO RURAL AFECTADO),COLLAPSED RURAL ROAD (CAMNINO RURAL COLAPSADO),AFFECTED WATER (AGUA AFECTADA),COLLAPSED WATER (AGUA COLAPSADA),AFFECTED DRAIN (DESAGÜE AFECTADO),COLLAPSED DRAIN (DESAGÜE COLAPSADO),AFFECTED IRRIGATION CANAL (CANAL DE REGADÍO AFECTADO),COLLAPSED IRRIGATION CANAL (CANAL DE REGADÍA COLAPSADO),PÉRDIDA VACUNO,PÉRDIDA CABALLAR,PÉRDIDA AUQUÉNIDO,PÉRDIDA CAPRINO*,PÉRDIDA PORCINO,AFECTADOS VACUNO,AFECTADOS CABALLAR,AFECTADOS CAMELIDO,AFECTADOS PORCINO,AFECTADOS CAPRINO*,PERDIDA DE ANIMALES MENORES*,ANIMALES MENORES AFECTADOS**,WEIGHT OF THE AID (PESO DE LA AYUDA),COST OF AID (COSTO DE LA AYUDA)
3022,12/12/2003,2003,Diciembre,110101,ICA,ICA,ICA,Flood (INUNDACIÓN),COSTA,0,0,0,11,13,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,737.975,221.18
3597,21/01/2004,2004,Enero,110101,ICA,ICA,ICA,Flood (INUNDACIÓN),COSTA,0,0,0,0,45,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.32,46.62
7585,07/11/2004,2004,Noviembre,110106,ICA,ICA,PARCONA,Flood (INUNDACIÓN),COSTA,0,0,0,0,13,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.65,679.9979
13646,05/11/2005,2005,Noviembre,110101,ICA,ICA,ICA,Flood (INUNDACIÓN),COSTA,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.42,500.074
8346,11/01/2005,2005,Enero,110108,ICA,ICA,SALAS,Flood (INUNDACIÓN),COSTA,0,0,0,0,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.925,466.146
14930,18/03/2006,2006,Marzo,110101,ICA,ICA,ICA,Flood (INUNDACIÓN),COSTA,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24484,22/12/2007,2007,Diciembre,110101,ICA,ICA,ICA,Flood (INUNDACIÓN),COSTA,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,453.25
20510,02/04/2007,2007,Abril,110103,ICA,ICA,LOS AQUIJES,Flood (INUNDACIÓN),COSTA,0,0,0,0,17,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,194.25
19744,17/02/2007,2007,Febrero,110111,ICA,ICA,SANTIAGO,Flood (INUNDACIÓN),COSTA,0,0,0,525,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4457.96,23188.5015
27616,05/06/2008,2008,Junio,110101,ICA,ICA,ICA,Flood (INUNDACIÓN),COSTA,0,0,0,22,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624.1,5136.6103
