Year,Population Growth Estimates,GDP Growth Rate
2026,0.010,0.025
2027,0.009,0.028
2028,0.009,0.027
2029,0.009,0.027
2030,0.008,0.028
2031,0.008,0.030
2032,0.008,0.033
2033,0.007,0.035
2034,0.007,0.035
2035,0.007,0.035
2036,0.007,0.034
2037,0.006,0.034
2038,0.006,0.032
2039,0.006,0.032
2040,0.006,0.030
2041,0.005,0.030
2042,0.005,0.028
2043,0.005,0.023
2044,0.005,0.022
2045,0.005,0.022
2046,0.004,0.022
2047,0.004,0.023
2048,0.004,0.023
2049,0.004,0.024
2050,0.003,0.024
