year,pop_change
1990,0.02207
1991,0.02011
1992,0.02061
1993,0.01973
1994,0.01983
1995,0.01895
1996,0.01867
1997,0.01831
1998,0.01807
1999,0.01649
2000,0.01473
2001,0.01263
2002,0.01123
2003,0.01008
2004,0.00953
2005,0.00828
2006,0.00756
2007,0.00695
2008,0.00621
2009,0.00613
2010,0.00692
2011,0.00802
2012,0.00872
2013,0.00931
2014,0.01057
2015,0.01199
2016,0.01466
2017,0.0148
2018,0.02139
2019,0.01298
2020,0.01088
2021,0.00836
2022,0.01081
2023,0.01118
2024,0.01069
2025,0.01017
2026,0.00971
